7|Ahmet Yusuf Birinci|45|Erkek|186|20|0321848245|email@mail.com|5 Nisan 2021 Pazartesi|rgdfgdfhgh*dfgdfgdf
1|Ahmet İkinci|45|Erkek|186|20|0321848245|email@mail.com|5 Nisan 2021 Pazartesi|rregdfgsdfg
12|Ahmet İkinci|50|Erkek|186|20|0321848245|email@mail.com|5 Nisan 2021 Pazartesi|deneme*
565|Ahmet Üçüncü|45|Erkek|186|20|0321848245|email@mail.com|5 Nisan 2021 Pazartesi|
111|Deneme Deneme|45|Kadın|186|20|0321848245|email@mail.com|5 Nisan 2021 Pazartesi|
3423245345|Ahmet Yusuf Birinci|45|Erkek|186|20|0321848245|email@mail.com|12 Mayıs 2021 Çarşamba|
4536245|Zeyep Birinci|45|Kadın|186|20|0321848245|4534535l@mail.com|12 Mayıs 2021 Çarşamba|
1231231|Aloooo Birinci|45|Erkek|186|20|0321848245|email@mail.com|12 Mayıs 2021 Çarşamba|
3345456|Gdfgdfgd Birinci|45|Erkek|186|20|0321848245|rterterte@mail.com|12 Mayıs 2021 Çarşamba|
45456456|Deneme12 Birinci|45|Kadın|186|20|4561848245|564564ail@mail.com|12 Mayıs 2021 Çarşamba|
34453|Deneme12456 Birinci|45|Erkek|186|20|4561848245|564564ail@mail.com|12 Mayıs 2021 Çarşamba|
234234234|34234 Birinci|45|Erkek|186|20|0321848245|email@mail.com|13 Mayıs 2021 Perşembe|Koşu bandı : 10 Dakika = Kardiyo*Eliptik Bisiklet : 5 Dakika = Kardiyo*Leg Press :  3 Set 10 Tekrar = Bacak*Calf Raises : 3 Set 10 Tekrar = Kalf*Dumbbell Bench Press: 3 set 10 Tekrar = Göğüs*Dumbbell Shoulder Press: 3 Set 10 Tekrar = Omuz*Lat Pulldown : 3 Set 10 Tekrar = Sırt*Barbell Curl : 3 Set 10 Tekrar = Ön Kol*Triceps Push Down : 3 Set 10 Tekrar = Arka Kol*Crunch : 1 Set Max. Tekrar = Karın
